What,Timestamp,Email Address,I enjoy reading the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught in the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend these notes to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I enjoy doing the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught through the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend the activities to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),How long do you think you spent on this lesson?,Please rate your overall experience. Is this experience satisfying?,Age,"Additional feedback. Please write down if you have some thoughts on what you like about the lesson, what you think could be improved or some other feedback. All feedback are welcomed! "
FBD-Lesson4,8/13/2021 14:08:58,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,"I personally really think that I've learned a lot from the lessons. Overall, I think everything is great no need for any improvement! "
FBD-Lesson4,8/13/2021 15:21:44,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,15,
FBD-Lesson4,8/13/2021 17:45:17,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/13/2021 18:28:40,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/13/2021 20:25:51,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/13/2021 21:05:54,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/13/2021 23:42:14,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,15,
FBD-Lesson4,8/13/2021 23:54:00,,6,3,8,6,8,6,Less than 30 minutes,Satisfying,16,all good
FBD-Lesson4,8/14/2021 7:55:34,,10,5,10,8,8,10,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/14/2021 7:56:17,,8,4,10,8,8,10,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/14/2021 11:16:42,,8,4,8,8,8,8,Less than 30 minutes,Very satisfying,13,
FBD-Lesson4,8/14/2021 11:18:13,,8,4,6,8,8,8,Between 30 to 60 minutes,Satisfying,13,
FBD-Lesson4,8/14/2021 11:47:44,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson4,8/14/2021 12:56:32,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson4,8/14/2021 14:14:09,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/14/2021 14:17:21,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson4,8/14/2021 15:39:09,,10,5,10,10,10,10,More than 90 minutes,Very satisfying,13,OK
FBD-Lesson4,8/14/2021 15:44:14,,8,4,10,8,8,10,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/14/2021 16:02:28,,8,4,10,8,8,10,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/14/2021 16:06:37,,10,4,8,8,8,8,Less than 30 minutes,Satisfying,14,I love how the information given.
FBD-Lesson4,8/14/2021 16:33:23,,10,5,10,10,10,10,More than 90 minutes,Very satisfying,13,ok
FBD-Lesson4,8/14/2021 18:59:24,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,it was good
FBD-Lesson4,8/14/2021 19:03:29,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,It was good
FBD-Lesson4,8/14/2021 20:45:33,,10,5,10,10,8,8,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/14/2021 21:33:56,,10,5,8,8,10,8,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson4,8/14/2021 21:39:15,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,15,
FBD-Lesson4,8/14/2021 21:54:20,,8,3,8,8,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/14/2021 23:01:33,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson4,8/14/2021 23:20:34,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/15/2021 11:54:48,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/15/2021 12:58:30,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson4,8/15/2021 13:24:39,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/15/2021 13:24:44,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/15/2021 14:27:49,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/15/2021 14:36:14,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/15/2021 15:18:43,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/15/2021 15:26:50,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/15/2021 15:43:49,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/15/2021 15:59:24,,10,5,10,10,10,10,Between 60 to 90 minutes,Satisfying,14,
FBD-Lesson4,8/15/2021 16:07:56,,8,4,8,8,8,8,Less than 30 minutes,Very satisfying,15,I learnt how to be a critical thinker
FBD-Lesson4,8/15/2021 16:08:03,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,I'm really glad to attend this lesson because it made me to understand the perspective getting to know types of people.
FBD-Lesson4,8/15/2021 16:17:42,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson4,8/15/2021 16:45:58,,10,4,10,10,8,10,Less than 30 minutes,Satisfying,15,
FBD-Lesson4,8/15/2021 16:46:43,,10,5,10,10,10,10,Between 60 to 90 minutes,Satisfying,15,
FBD-Lesson4,8/15/2021 17:38:33,,10,5,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,
FBD-Lesson4,8/15/2021 17:38:57,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,15,
FBD-Lesson4,8/15/2021 17:39:49,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson4,8/15/2021 17:59:17,,8,4,6,8,8,6,Between 30 to 60 minutes,Not satisfying,15,good lesson... essay to understand 
FBD-Lesson4,8/15/2021 18:03:41,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson4,8/15/2021 18:06:03,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson4,8/15/2021 18:07:52,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/15/2021 21:08:51,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/15/2021 21:09:14,,6,3,6,6,6,6,Between 30 to 60 minutes,Not sure,16,
FBD-Lesson4,8/15/2021 21:09:17,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,I HOPE MY ADD MATHS GETS BETTER
FBD-Lesson4,8/15/2021 21:09:22,,6,3,6,6,6,6,Between 30 to 60 minutes,Not sure,16,
FBD-Lesson4,8/15/2021 21:09:29,,8,4,8,8,8,8,Between 30 to 60 minutes,Not sure,16,
FBD-Lesson4,8/15/2021 22:43:36,,8,5,10,8,10,10,Less than 30 minutes,Satisfying,15,
FBD-Lesson4,8/15/2021 22:44:43,,8,5,10,8,10,10,Less than 30 minutes,Satisfying,15,
FBD-Lesson4,8/15/2021 22:47:42,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/15/2021 22:51:55,,8,4,8,8,6,8,Between 30 to 60 minutes,Not sure,14,
FBD-Lesson4,8/15/2021 23:08:55,,10,5,10,8,10,10,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson4,8/16/2021 9:54:35,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson4,8/16/2021 9:55:10,,10,4,8,10,8,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson4,8/16/2021 9:55:17,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson4,8/16/2021 9:55:18,,10,4,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson4,8/16/2021 9:55:36,,8,5,10,8,8,6,Less than 30 minutes,Not sure,14,
FBD-Lesson4,8/16/2021 9:57:32,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/16/2021 10:27:58,,10,4,8,10,8,8,Between 30 to 60 minutes,Very satisfying,15,i very satisfying about the lesson
FBD-Lesson4,8/16/2021 12:16:25,,10,4,8,10,8,8,Between 30 to 60 minutes,Very satisfying,14,
FBD-Lesson4,8/16/2021 14:26:06,,10,5,10,6,8,6,Less than 30 minutes,Not sure,16,
FBD-Lesson4,8/16/2021 14:30:39,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/16/2021 14:38:49,,8,4,6,8,8,6,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/16/2021 15:45:23,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/16/2021 16:40:42,,10,5,10,10,10,10,More than 90 minutes,Satisfying,15,
FBD-Lesson4,8/16/2021 19:51:12,,8,5,8,8,10,8,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/16/2021 21:20:29,,8,4,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,very understood
FBD-Lesson4,8/16/2021 22:04:49,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,All activities were great and playful
FBD-Lesson4,8/16/2021 23:12:28,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,Enjoy it very much
FBD-Lesson4,8/16/2021 23:57:06,,10,5,10,10,10,10,Between 60 to 90 minutes,Satisfying,13,"I like the lesson of information, from that i can lean to Distinguish fake or true news."
FBD-Lesson4,8/17/2021 8:23:19,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,14,
FBD-Lesson4,8/17/2021 10:40:26,,10,4,10,10,10,10,Less than 30 minutes,Satisfying,14,none
FBD-Lesson4,8/17/2021 11:49:48,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,15,I loved how interactive this lesson was. it was very fun. 
FBD-Lesson4,8/17/2021 12:50:42,,10,4,8,10,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/17/2021 15:13:55,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/17/2021 16:40:39,,8,4,10,8,8,10,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson4,8/17/2021 17:21:57,,10,5,10,10,8,10,Between 60 to 90 minutes,Very satisfying,13,I now know how to check if the information is false or vice versa.
FBD-Lesson4,8/17/2021 22:02:20,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/17/2021 22:14:03,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/17/2021 22:40:13,,10,5,10,10,8,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/18/2021 10:32:59,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,I think this lesson was the best lesson! 
FBD-Lesson4,8/18/2021 11:08:37,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson4,8/18/2021 11:14:22,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/18/2021 12:43:45,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,14,nothing
FBD-Lesson4,8/18/2021 14:06:09,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,none.
FBD-Lesson4,8/18/2021 14:09:36,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,Interesting notes
FBD-Lesson4,8/18/2021 14:58:01,,6,5,6,6,10,6,Between 30 to 60 minutes,Not sure,14,
FBD-Lesson4,8/18/2021 15:24:40,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/18/2021 15:28:33,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,15,
FBD-Lesson4,8/18/2021 18:30:01,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,14,I could really relate to this lesson very much as my family and friends always share uncertain news into our groupchat or other social media platforms. It teaches me to not spread any news without actually making sure if its a real source.
FBD-Lesson4,8/18/2021 20:05:34,,10,4,10,10,8,10,Between 30 to 60 minutes,Satisfying,13,nothing
FBD-Lesson4,8/18/2021 22:27:50,,8,5,10,8,10,10,Between 30 to 60 minutes,Satisfying,16,None.
FBD-Lesson4,8/18/2021 22:41:13,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,15,
FBD-Lesson4,8/18/2021 22:42:43,,10,4,10,10,10,8,Between 30 to 60 minutes,Satisfying,16,-
FBD-Lesson4,8/18/2021 23:36:28,,8,4,8,8,8,8,Between 60 to 90 minutes,Not sure,16,
FBD-Lesson4,8/18/2021 23:45:17,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,13,
FBD-Lesson4,8/19/2021 1:09:01,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson4,8/19/2021 8:32:46,,10,5,10,10,10,10,More than 90 minutes,Very satisfying,14,
FBD-Lesson4,8/19/2021 8:54:06,,10,5,8,10,10,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/19/2021 12:19:12,,6,3,6,6,6,6,Between 30 to 60 minutes,Not sure,15,
FBD-Lesson4,8/19/2021 13:49:40,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson4,8/19/2021 18:37:59,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,14,I learnt a lot
FBD-Lesson4,8/19/2021 18:40:17,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,14,This was fun to do!
FBD-Lesson4,8/19/2021 18:45:40,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson4,8/19/2021 20:58:11,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson4,8/19/2021 21:59:50,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson4,8/19/2021 22:00:52,,10,5,10,10,10,10,More than 90 minutes,Very satisfying,16,Very good already
FBD-Lesson4,8/19/2021 23:56:26,,8,4,6,8,8,8,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson4,8/20/2021 0:57:07,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/20/2021 9:40:19,,10,5,10,10,10,8,Less than 30 minutes,Satisfying,13,
FBD-Lesson4,8/20/2021 10:37:02,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/20/2021 13:02:55,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/20/2021 13:35:11,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/20/2021 15:38:18,,10,4,8,10,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/20/2021 16:59:21,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,-
FBD-Lesson4,8/20/2021 17:05:31,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson4,8/20/2021 17:07:32,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/20/2021 18:03:04,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson4,8/20/2021 18:04:16,,10,4,8,10,8,8,Between 30 to 60 minutes,Satisfying,15,-
FBD-Lesson4,8/20/2021 18:17:06,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,17,
FBD-Lesson4,8/20/2021 19:24:13,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/20/2021 19:29:38,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,The details very simple to understand.
FBD-Lesson4,8/20/2021 19:29:39,,8,4,8,8,8,8,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/20/2021 19:31:18,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,14,Notes are very informative.
FBD-Lesson4,8/20/2021 19:35:07,,8,4,8,8,8,8,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/20/2021 20:01:18,,10,5,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,can give more some interesting GIFS
FBD-Lesson4,8/20/2021 20:43:42,,4,2,4,4,4,4,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/20/2021 20:54:36,,10,5,10,8,8,8,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson4,8/20/2021 21:29:42,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson4,8/21/2021 3:39:41,,8,4,8,8,8,8,Between 30 to 60 minutes,Very satisfying,17,"allowing people to give their opinions is very good, can read other's opinion too "
FBD-Lesson4,8/21/2021 9:23:54,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,"As per usual, an awesome job in educating me :D"
FBD-Lesson4,8/21/2021 9:53:03,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,14,
FBD-Lesson4,8/21/2021 10:01:47,,10,5,10,10,10,10,Between 60 to 90 minutes,Satisfying,13,Nope
FBD-Lesson4,8/21/2021 11:43:20,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/21/2021 12:04:50,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson4,8/21/2021 12:53:05,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,Overall it is good.
