What,Timestamp,Email Address,I enjoy reading the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught in the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend these notes to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I enjoy doing the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught through the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend the activities to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),How long do you think you spent on this lesson?,Please rate your overall experience. Is this experience satisfying?,Age,"Additional feedback. Please write down if you have some thoughts on what you like about the lesson, what you think could be improved or some other feedback. All feedback are welcomed! "
FBD-Lesson2,8/6/2021 14:40,,10,10,10,10,8,10,Between 30 to 60 minutes,Satisfying,13,THANK YOU FOR THE INFORMATION.
FBD-Lesson2,8/6/2021 18:06,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/6/2021 18:07,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/6/2021 22:33,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/6/2021 23:05,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/7/2021 9:15,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson2,8/7/2021 11:01,,8,8,10,8,6,8,Between 30 to 60 minutes,Very satisfying,15,the information very interesting
FBD-Lesson2,8/7/2021 11:02,,8,8,8,8,8,8,Between 30 to 60 minutes,Very satisfying,15,Thanks for the information.
FBD-Lesson2,8/7/2021 11:17,,10,10,10,10,10,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/7/2021 11:48,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,15,
FBD-Lesson2,8/7/2021 12:11,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,"It taught me more than I knew but I think it's still too shallow, if possible, provide more tips and info."
FBD-Lesson2,8/7/2021 12:46,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,13,Keep it up! 
FBD-Lesson2,8/7/2021 12:57,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,13,The activities are interseting
FBD-Lesson2,8/7/2021 13:04,,10,8,10,10,10,8,Between 60 to 90 minutes,Very satisfying,17,
FBD-Lesson2,8/7/2021 13:33,,10,8,8,10,10,8,More than 90 minutes,Very satisfying,17,
FBD-Lesson2,8/7/2021 13:42,,10,10,8,10,10,8,Between 30 to 60 minutes,Very satisfying,17,
FBD-Lesson2,8/7/2021 14:57,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,14,Fun games and excellent opinion sections are really great for this kind of campaign.
FBD-Lesson2,8/7/2021 16:45,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,add more quiz
FBD-Lesson2,8/7/2021 16:46,,8,10,10,8,10,8,Less than 30 minutes,Satisfying,13,This is very good. I learnt more about how to protect myself on internet.
FBD-Lesson2,8/7/2021 17:13,,10,8,10,8,8,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/7/2021 18:17,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,13,
FBD-Lesson2,8/7/2021 18:50,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,add background music
FBD-Lesson2,8/7/2021 19:08,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,13,"Thank you for the slides, appreciate that."
FBD-Lesson2,8/7/2021 19:12,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,add music 
FBD-Lesson2,8/7/2021 19:26,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,add music
FBD-Lesson2,8/7/2021 20:10,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson2,8/7/2021 20:20,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,add backround music
FBD-Lesson2,8/7/2021 20:24,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,13,This is good.
FBD-Lesson2,8/7/2021 20:27,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,add music
FBD-Lesson2,8/7/2021 20:53,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,I enjoyed it! 😊
FBD-Lesson2,8/7/2021 21:03,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson2,8/7/2021 21:16,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,This lesson was good and I learnt many new things.
FBD-Lesson2,8/8/2021 8:16,,10,10,10,10,8,10,More than 90 minutes,Satisfying,13,The questions is little bit hard.
FBD-Lesson2,8/8/2021 9:58,,6,6,6,6,6,6,Between 30 to 60 minutes,Not sure,17,
FBD-Lesson2,8/8/2021 13:45,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson2,8/8/2021 14:06,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,I like the google form where there are situations and we have to choose the best approach to that situation . That activity make me step back and rethink about how to really settle the problem in the most mature way that will not cause any misunderstanding and argument .
FBD-Lesson2,8/8/2021 14:28,,8,8,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson2,8/8/2021 15:37,,8,8,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson2,8/8/2021 18:10,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,Nice.
FBD-Lesson2,8/8/2021 20:32,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/8/2021 20:56,,10,10,8,10,10,10,Between 30 to 60 minutes,Satisfying,13,
FBD-Lesson2,8/8/2021 21:01,,10,10,10,8,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/8/2021 21:12,,8,8,6,8,8,6,Between 30 to 60 minutes,Not sure,16,
FBD-Lesson2,8/8/2021 22:33,,10,8,10,8,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/9/2021 10:44,,10,10,8,10,10,8,Less than 30 minutes,Very satisfying,15,
FBD-Lesson2,8/9/2021 12:14,,10,8,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/9/2021 14:26,,8,8,6,8,8,6,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/9/2021 15:51,,8,8,8,8,8,6,Less than 30 minutes,Not sure,16,
FBD-Lesson2,8/9/2021 16:11,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,-
FBD-Lesson2,8/9/2021 16:12,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/9/2021 16:51,,8,8,6,8,8,6,Less than 30 minutes,Not sure,16,great
FBD-Lesson2,8/9/2021 18:01,,8,8,10,10,8,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/9/2021 18:36,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,
FBD-Lesson2,8/9/2021 19:32,,8,10,8,10,10,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson2,8/9/2021 21:09,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,TING XIN LING
FBD-Lesson2,8/9/2021 21:12,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,.
FBD-Lesson2,8/9/2021 21:25,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,
FBD-Lesson2,8/9/2021 21:35,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,
FBD-Lesson2,8/9/2021 22:06,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,I like the lesson cuz it teach me something that i always do on internet. So i will take this as my lessons.
FBD-Lesson2,8/9/2021 23:14,,8,10,10,8,10,8,Between 30 to 60 minutes,Satisfying,16,All of the information are very useful and helpful! I really love how you can explain each things even though in a really simple way. 
FBD-Lesson2,8/10/2021 0:12,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,I like it
FBD-Lesson2,8/10/2021 0:20,,10,10,10,10,10,10,Between 60 to 90 minutes,Satisfying,16,I like it
FBD-Lesson2,8/10/2021 2:53,,8,8,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson2,8/10/2021 3:06,,8,8,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson2,8/10/2021 9:19,,10,10,6,10,8,8,Between 30 to 60 minutes,Very satisfying,13,
FBD-Lesson2,8/10/2021 11:25,,8,8,8,8,6,10,Less than 30 minutes,Satisfying,14,I think it'll be even more compelling on video
FBD-Lesson2,8/10/2021 12:35,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,.
FBD-Lesson2,8/10/2021 12:36,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson2,8/10/2021 14:12,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson2,8/10/2021 14:16,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,no
FBD-Lesson2,8/10/2021 14:41,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson2,8/10/2021 22:46,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,everything was good
FBD-Lesson2,8/11/2021 10:20,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson2,8/11/2021 10:29,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,17,more extreme question 
FBD-Lesson2,8/11/2021 11:31,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,use a simple english that will make student understand more
FBD-Lesson2,8/11/2021 11:51,,8,6,8,8,8,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/11/2021 12:55,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,15,
FBD-Lesson2,8/11/2021 14:10,,10,10,8,10,10,8,Less than 30 minutes,Satisfying,13,"I've always wondered what cookies were, and now I understand what it is, I also learnt more about keeping personal informations private from anyone."
FBD-Lesson2,8/11/2021 14:35,,10,10,10,8,10,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/11/2021 14:45,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson2,8/11/2021 14:48,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,13,Everything is absolutely perfect and amazing.Thanks!
FBD-Lesson2,8/11/2021 15:11,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/11/2021 16:16,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/11/2021 16:21,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson2,8/11/2021 16:27,,10,8,8,8,8,8,Less than 30 minutes,Very satisfying,13,It's complete!
FBD-Lesson2,8/11/2021 16:35,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/11/2021 16:39,,10,8,10,10,10,10,More than 90 minutes,Satisfying,17,
FBD-Lesson2,8/11/2021 16:40,,10,8,10,10,8,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson2,8/11/2021 16:53,,10,8,10,10,10,10,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/11/2021 17:06,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson2,8/11/2021 18:15,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/11/2021 21:22,,8,6,8,8,6,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/11/2021 21:33,,10,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/11/2021 21:43,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,I think this lesson very helpful because it is give many advantage and disadvantages about internet and how to manage our social account to be stay secured and safe.
FBD-Lesson2,8/11/2021 21:58,,10,10,10,10,10,8,Between 30 to 60 minutes,Satisfying,15,this is my dearest lesson so far
FBD-Lesson2,8/11/2021 22:07,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,I think this lesson is very helpfull and give us very advantage and diadvantages.It is also very make us learn how to secure our social account to be more safe 
FBD-Lesson2,8/11/2021 22:26,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,i have no comments... thank you
FBD-Lesson2,8/11/2021 22:43,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/12/2021 7:07,,10,8,10,8,8,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/12/2021 11:25,,10,10,8,10,10,8,Between 30 to 60 minutes,Satisfying,15,i can learn how to use internet properly
FBD-Lesson2,8/12/2021 12:06,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,we must take care of our own privacy because everybody watch you.
FBD-Lesson2,8/12/2021 15:51,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/12/2021 16:01,,8,8,10,8,8,10,Less than 30 minutes,Satisfying,14,
FBD-Lesson2,8/12/2021 16:01,,10,10,10,8,8,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson2,8/12/2021 16:02,,10,8,8,10,8,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson2,8/12/2021 16:06,,8,8,8,8,10,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson2,8/12/2021 23:39,,8,8,10,10,8,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson2,8/12/2021 23:59,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/12/2021 23:59,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,17,The notes are very informative!
FBD-Lesson2,8/13/2021 0:36:56,,10,10,8,10,10,10,Between 30 to 60 minutes,Satisfying,15,"i can learn how to use social media in the correct ways
"
FBD-Lesson2,8/13/2021 12:07:56,,8,8,10,8,8,8,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson2,8/13/2021 13:09:54,,8,8,6,8,8,6,Less than 30 minutes,Satisfying,15,well pretty nice
FBD-Lesson2,8/13/2021 13:32:34,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson2,8/13/2021 13:44:31,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson2,8/13/2021 13:44:33,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/13/2021 13:44:34,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson2,8/13/2021 13:44:34,,8,8,8,8,8,8,Between 30 to 60 minutes,Not sure,16,
FBD-Lesson2,8/13/2021 13:54:24,,10,10,10,10,10,8,Between 30 to 60 minutes,Very satisfying,14,none
FBD-Lesson2,8/13/2021 14:18:08,,8,8,6,6,8,6,Less than 30 minutes,Satisfying,15,
FBD-Lesson2,8/13/2021 14:36:20,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,be aware at digital.
FBD-Lesson2,8/13/2021 15:56:41,,6,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/13/2021 16:12:15,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,be aware
FBD-Lesson2,8/13/2021 16:25:10,,10,10,8,10,8,8,Less than 30 minutes,Very satisfying,15,This one is also well made.Kudos
FBD-Lesson2,8/13/2021 16:35:53,,8,10,10,8,10,10,Less than 30 minutes,Satisfying,14,
FBD-Lesson2,8/13/2021 16:46:51,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/13/2021 17:18:25,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson2,8/13/2021 19:16:23,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson2,8/13/2021 21:15:44,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,check before do anything.
FBD-Lesson2,8/13/2021 21:51:32,,6,8,6,6,8,8,Less than 30 minutes,Not sure,16,Make the information simple and easy to read
FBD-Lesson2,8/13/2021 21:56:01,,8,10,8,8,10,8,Between 30 to 60 minutes,Satisfying,14,like more video & explanations 
FBD-Lesson2,8/13/2021 22:41:00,,8,10,10,8,10,10,Less than 30 minutes,Satisfying,15,
FBD-Lesson2,8/13/2021 23:04:24,,10,10,10,8,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/13/2021 23:18:41,,6,8,6,6,8,6,Less than 30 minutes,Satisfying,16,all good
FBD-Lesson2,8/14/2021 0:04:01,,8,8,8,8,8,10,Between 30 to 60 minutes,Satisfying,13,
FBD-Lesson2,8/14/2021 4:08:48,,6,8,6,6,8,6,Less than 30 minutes,Satisfying,16,all good
FBD-Lesson2,8/14/2021 4:22:06,,6,6,6,6,6,6,Less than 30 minutes,Satisfying,16,all good
FBD-Lesson2,8/14/2021 7:47:31,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,Done love this!!!
FBD-Lesson2,8/14/2021 9:13:08,,10,10,10,8,8,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/14/2021 9:50:09,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson2,8/14/2021 9:52:30,,6,6,8,8,8,8,Less than 30 minutes,Satisfying,13,
FBD-Lesson2,8/14/2021 11:10:17,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson2,8/14/2021 12:08:50,,10,10,8,10,10,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/14/2021 12:13:37,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson2,8/14/2021 12:20:41,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson2,8/14/2021 12:52:32,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,13,
FBD-Lesson2,8/14/2021 13:16:23,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson2,8/14/2021 13:27:45,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,14,
FBD-Lesson2,8/14/2021 14:22:41,,8,8,6,8,8,6,Less than 30 minutes,Satisfying,16,
FBD-Lesson2,8/14/2021 15:36:47,,10,10,10,10,10,10,More than 90 minutes,Very satisfying,13,Hard question
FBD-Lesson2,8/14/2021 15:40:26,,8,8,6,8,10,8,Less than 30 minutes,Satisfying,14,I like how clear the information given.
FBD-Lesson2,8/14/2021 16:17:14,,10,10,10,10,10,10,More than 90 minutes,Very satisfying,13,ok
FBD-Lesson2,8/14/2021 16:23:13,,10,10,10,10,10,10,More than 90 minutes,Very satisfying,18,OK
FBD-Lesson2,8/14/2021 16:56:25,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/14/2021 17:00:01,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,14,
FBD-Lesson2,8/14/2021 17:00:57,,10,8,8,6,8,6,Less than 30 minutes,Not sure,13,
FBD-Lesson2,8/14/2021 17:02:28,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/14/2021 17:02:53,,8,8,8,6,6,8,Less than 30 minutes,Not sure,13,
FBD-Lesson2,8/14/2021 17:04:28,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson2,8/14/2021 17:27:08,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,i can understand the infomations given well
FBD-Lesson2,8/14/2021 17:32:39,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,15,
FBD-Lesson2,8/14/2021 18:41:37,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,it was good.
FBD-Lesson2,8/14/2021 20:09:02,,8,10,8,8,8,8,Between 30 to 60 minutes,Satisfying,13,
FBD-Lesson2,8/14/2021 21:09:01,,10,8,10,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson2,8/14/2021 22:11:13,,8,8,10,10,10,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/14/2021 22:19:24,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson2,8/14/2021 22:41:54,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson2,8/14/2021 22:44:27,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,17,
FBD-Lesson2,8/14/2021 23:10:43,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,16,Great
FBD-Lesson2,8/14/2021 23:11:51,,8,8,4,6,6,6,More than 90 minutes,Not sure,13,good
FBD-Lesson2,8/15/2021 9:34:18,,10,10,8,10,10,8,Less than 30 minutes,Satisfying,13,"LOVE the activities. However, try to add more in between activities (wordwall, etc). Looking forward to it!"
FBD-Lesson2,8/15/2021 10:49:02,,8,8,8,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/15/2021 11:58:09,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson2,8/15/2021 12:20:59,,8,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/15/2021 12:32:55,,10,10,8,10,10,8,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 12:37:01,,6,6,6,8,6,6,Between 30 to 60 minutes,Satisfying,15,-
FBD-Lesson2,8/15/2021 12:37:02,,10,10,8,10,10,8,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 12:39:42,,8,6,6,8,8,6,Less than 30 minutes,Satisfying,15,Nothing bad just ok
FBD-Lesson2,8/15/2021 12:53:10,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,15,"-
"
FBD-Lesson2,8/15/2021 12:59:56,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 13:00:22,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,15,Nothing bad its 👌 
FBD-Lesson2,8/15/2021 13:00:45,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 13:03:46,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson2,8/15/2021 13:31:43,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 13:40:33,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 13:57:11,,10,10,8,10,10,8,Less than 30 minutes,Satisfying,16,Everything is good!
FBD-Lesson2,8/15/2021 15:06:11,,8,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson2,8/15/2021 15:14:02,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 15:17:18,,8,8,8,8,8,6,Between 60 to 90 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 15:20:03,,10,10,8,10,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson2,8/15/2021 15:26:01,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 15:40:04,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,15,i learned how Angela interact with the internwt
FBD-Lesson2,8/15/2021 15:40:12,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,I'm able to learn about the digital footprint from this lesson.
FBD-Lesson2,8/15/2021 16:07:26,,8,8,8,8,8,8,Between 60 to 90 minutes,Satisfying,17,
FBD-Lesson2,8/15/2021 16:29:28,,10,8,10,10,8,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 16:15:29,,10,10,10,10,10,10,Between 60 to 90 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 16:15:35,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,15,-
FBD-Lesson2,8/15/2021 16:17:26,,10,8,8,10,8,8,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson2,8/15/2021 16:51:37,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 16:52:06,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 16:53:01,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 16:54:21,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 16:58:16,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 17:02:36,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson2,8/15/2021 17:12:46,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,"love it
"
